id,name,description,instructions,muscle_group,secondary_muscles,equipment,exercise_type,difficulty,animation_url,thumbnail_url,calories_per_minute,is_compound,is_unilateral,coach_id,is_custom,created_at,updated_at,category,tips,primary_muscles,video_url,gender_variant,source,form_tips,common_mistakes,coaching_cues,reference_links
16,45 degree hyperextension arms to chest,,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your arms across your chest and lean forward.
3. Raise yourself by leaning backward and forming an upright position.
4. Hold for a while, return to the initial position, and repeat.
",back,"[""Hamstrings (biceps femoris, semitendinosus, semimembranosus)""]",Hyperextension Bench,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Back/45%20degree%20hyperextension%20arms%20to%20chest.mp4,,,True,False,,False,2025-12-13T15:36:15.643064+00:00,2026-01-25T04:25:53.526572+00:00,Bodyweight,"1. Keep your movements slow and controlled to maintain proper form and maximize muscle engagement.
2. Avoid hyperextending your back; stop when your body forms a straight line to prevent strain on your lower back.
3. Engage your core muscles throughout the exercise to support your spine and maintain stability.","Lower Back (erector spinae), Glutes (gluteus maximus, gluteus mideus)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Back/45%20degree%20hyperextension%20arms%20to%20chest.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]",[],[],[]
19,45 degree twisting hyperextension,,"1. Fix your feet to the footrests and press your thighs against the padded platform.
2. Place your hands behind your head and lean forward.
3. Raise yourself by leaning backward and twisting your torso to a side.
4. Hold for a while, return to the initial position, and repeat.",back,"[""Abdominals (rectus abdominis), Glutes (gluteus maximus, gluteus mideus)""]",Hyperextension Bench,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/45%20degree%20twisting%20hyperextension.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/45%20degree%20twisting%20hyperextension1.jpeg,,True,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:46:49.906205+00:00,Bodyweight,"1. Perform the twisting motion smoothly and avoid jerking to prevent strain on your back.
2. Engage your core muscles throughout the exercise to maintain stability and support your spine.
3. Breathe steadily, exhaling as you lift and twist, and inhaling as you lower back down.","Lower Back (erector spinae), Obliques (external and internal obliques)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/45%20degree%20twisting%20hyperextension.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]",[],[],[]
23,90 degree heel touch,,"1. Lie down on your back with your hips and knees bent to 90 degrees and your arms extended overhead.
2. Raise your upper back and bring your arms forward to touch your heels.
3. Hold for a while, return to the initial position, and repeat.
",core,"[""Hip Flexors (iliopsoas)""]",None,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/90%20degree%20heel%20touch.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/90%20degree%20heel%20touch.jpeg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:46:49.891655+00:00,Bodyweight,"1. Keep your neck relaxed and avoid straining it by using your core muscles to lift your shoulders.
2. Ensure your lower back stays pressed into the mat to engage your core effectively and protect your spine.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of injury.","Abdominals (rectus abdominis), Obliques (external and internal obliques)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/90%20degree%20heel%20touch.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]",[],[],[]
42,Abdominal crunches,,"1. Lie on your back with knees slightly bent, feet placed on the floor and arms raised to the shoulder height.
2. Squeeze your abdominals and lift your upper back off the floor, reaching forward with your arms
3. Hold for few seconds and slowly return to the starting position.",core,"[""Obliques (external and internal obliques)""]",None,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/abdominal%20crunches.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/Abdominal%20Crunches%20(1).jpg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:54:05.348886+00:00,Bodyweight,"1. Keep your neck relaxed and avoid pulling on it with your hands to prevent strain.
2. Focus on engaging your core muscles throughout the movement to maximize effectiveness.
3. Breathe steadily, exhaling as you lift into the crunch and inhaling as you lower back down.",Abdominals (rectus abdominis),https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/abdominal%20crunches.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Pulling neck"", ""Using momentum"", ""Coming up too high""]","[""Shoulders off floor"", ""Exhale up"", ""Back down""]",[]
44,Abdominal crunches with hold,,"1. Lie on your back with knees slightly bent and feet placed on the floor.
2. Inhale and try reaching forward with straight arms while lifting your upper back off the floor.                                                                   3. Hold the end position for few seconds and slowly return to the starting position.",core,"[""Obliques (external and internal obliques)""]",None,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/abdominal%20crunches%20with%20hold.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/Abdominal%20Crunches%20with%20Hold%20(1).jpg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-05T03:42:53.246228+00:00,Bodyweight,"1. Keep your neck relaxed and avoid pulling on it with your hands to prevent strain.
2. Focus on engaging your core muscles throughout the movement to maximize effectiveness.
3. Hold the crunch position for a count of two to five seconds to increase muscle activation and endurance.",Abdominals (rectus abdominis),https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/abdominal%20crunches%20with%20hold.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Pulling neck"", ""Using momentum"", ""Coming up too high""]","[""Shoulders off floor"", ""Exhale up"", ""Back down""]",[]
58,Air bike crunch,,"1. Lie on your back with your hands behind your head and your knees bent at a 90-degree angle.
2. Lift your shoulders off the floor, engaging your core.
3. Bring your right elbow towards your left knee while extending your right leg lightly.
4. Switch sides, bringing your left elbow towards your right knee while extending your left leg lightly. Continue alternating sides in a pedaling motion.",core,"[""Hip Flexors (iliopsoas), Quadriceps (quadriceps femoris)""]",None,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/air%20bike%20crunch.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/air%20bike%20crunch.jpeg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:46:51.381639+00:00,Bodyweight,"1. Keep your core engaged throughout the exercise to maximize muscle activation and protect your lower back.
2. Perform the movement slowly and with control, avoiding the use of momentum to maximize effectiveness.
3. Breathe steadily, exhaling as you twist and bring your elbow to your knee, and inhaling as you switch sides.","Abdominals (rectus abdominis), Obliques (external and internal obliques)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/air%20bike%20crunch.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Pulling neck"", ""Using momentum"", ""Coming up too high""]","[""Shoulders off floor"", ""Exhale up"", ""Back down""]",[]
71,Alternate arm leg plank,,"1. Start in a plank position with your hands directly under your shoulders and your body forming a straight line from head to heels.
2. Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold briefly, then lower back to the plank position.
3. Lift your left arm and right leg simultaneously, extending them straight out and holding briefly before returning to the plank position.
4. Continue alternating sides, lifting opposite arms and legs.",shoulders,"[""Back Muscles (latissimus dorsi, erector spinae), Hip Flexors (iliopsoas)""]",None,strength,beginner,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/Alternate%20Arm%20Leg%20Plank.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/Alternate%20Arm%20Leg%20Plank1.jpeg,,True,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:54:05.842492+00:00,Bodyweight,"1. Keep your core engaged throughout the exercise to maintain stability and prevent your hips from sagging.
2. Perform the movement slowly and with control to maximize muscle engagement and maintain balance.
3. Breathe steadily, exhaling as you lift your arm and leg and inhaling as you lower them back to the plank position.","Core Muscles (rectus abdominis, obliques), Shoulders (deltoids), Glutes (gluteus maximus, gluteus mideus)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Abdominals/Alternate%20Arm%20Leg%20Plank.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Hips too high or sagging"", ""Looking up"", ""Holding breath""]","[""Flat back"", ""Squeeze everything"", ""Breathe""]",[]
72,Alternate arm leg plank hold,,"1.  Start in a plank position with your elbows directly under your shoulders and your body forming a straight line from head to heels.
2. Lift your right arm and left leg simultaneously, extending them straight out while maintaining balance. Hold this position for a brief period of 1-2 seconds.
3. Lower your right arm and left leg back to the plank position.
4. Lift your left arm and right leg simultaneously, extending them straight out and holding for a brief period of 1-2 seconds before returning to the plank position.",shoulders,"[""Back Muscles (latissimus dorsi, erector spinae), Hip Flexors (iliopsoas)""]",None,strength,intermediate,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/alternate%20arm%20leg%20plank%20hold.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Abdominals/alternate%20arm%20leg%20plank%20hold2.jpeg,,True,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:46:51.668456+00:00,Bodyweight,"1. Keep your core engaged throughout the exercise to maintain stability and prevent your hips from sagging.
2. Perform the movement slowly and with control to maximize muscle engagement and maintain balance.
3. Breathe steadily, exhaling as you lift your arm and leg and inhaling as you hold the position.","Core Muscles (rectus abdominis, obliques), Shoulders (deltoids), Glutes (gluteus maximus, gluteus mideus)",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/alternate%20arm%20leg%20plank%20hold.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Hips too high or sagging"", ""Looking up"", ""Holding breath""]","[""Flat back"", ""Squeeze everything"", ""Breathe""]",[]
75,Alternate bicep curl standing dumbbells,,"1. Stand upright with your feet shoulder-width apart, holding a dumbbell in each hand with your arms fully extended by your sides. Your palms should face forward (supinated grip).
2. Engage your core and keep your elbows close to your torso. Slowly curl the right dumbbell up towards your shoulder, maintaining the forward-facing position of your palms.
3. Squeeze your bicep at the top of the movement, then slowly lower the dumbbell back to the starting position with control.
4. Repeat the same motion with your left arm, alternating between right and left arms for the desired number of repetitions.",arms,"[""Forearms (Brachioradialis)""]",Dumbbell,strength,intermediate,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/alternate%20bicep%20curl%20standing%20dumbbells.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Biceps/Alternate%20bicep%20curl%20standing%20dumbbells.jpg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-04-29T06:45:34.379707+00:00,Free Weights,"1. Ensure your elbows stay close to your torso and avoid swinging your arms to lift the weights.
2. Move your arms slowly and with control to maximize muscle engagement and prevent injury.
3. Focus on fully extending your arms at the bottom of each curl to engage the full range of motion.",Biceps (Biceps Brachii),https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/alternate%20bicep%20curl%20standing%20dumbbells.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Swinging weights up"", ""Elbows moving forward"", ""Not supinating at top"", ""Partial ROM""]","[""Turn and squeeze"", ""Elbows still"", ""Full range"", ""Control down""]",[]
78,Alternate hammer curl seated dumbbells,,"1. Sit on a bench with your feet flat on the floor, holding a dumbbell in each hand with your arms fully extended by your sides. Your palms should face each other (neutral grip).
2. Engage your core and keep your elbows close to your torso. Slowly curl the right dumbbell up towards your shoulder, maintaining the neutral grip with your palm facing inward.
3. Squeeze your bicep at the top of the movement, then slowly lower the dumbbell back to the starting position with control.
4. Repeat the same motion with your left arm, alternating between right and left arms for the desired number of repetitions.",arms,"[""Forearms (Brachioradialis)""]",Dumbbell,strength,intermediate,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Biceps/Alternate%20hammer%20curl%20seated%20dumbbells.mp4,https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-thumbnails/Biceps/Alternate%20hammer%20curl%20seated%20dumbbells1%20(1).jpg,,False,False,,False,2025-12-13T15:36:15.643064+00:00,2026-05-06T04:54:20.285044+00:00,Free Weights,"1. Keep your wrists straight to avoid putting unnecessary strain on them during the curls.
2. Maintain a controlled pace to ensure that you're using muscle strength rather than momentum.
3. Visualize the bicep contraction to enhance the mind-muscle connection for better results.","Biceps (Biceps Brachii), Brachialis",https://qewqcjzlfqamqwbccapr.supabase.co/storage/v1/object/public/exercise-videos/4K%20UHD%202160P/Biceps/Alternate%20hammer%20curl%20seated%20dumbbells.mp4,,exerciseanimatic,"[""Start on hands and knees"", ""Keep knee bent at 90 degrees"", ""Lift knee out to side (abduction)"", ""Keep hips and torso stable"", ""Squeeze glute at top""]","[""Swinging weights with momentum"", ""Letting elbows drift forward"", ""Going too fast (losing tension)"", ""Partial ROM""]","[""Thumbs up position"", ""Elbows pinned"", ""Squeeze at top"", ""Feel brachialis""]",[]
