Categories,Exercise,Exercise Instructions (step by step),Exercise Tips,Primary Activating Muscles,Secondary Activating Muscles,Equipment
,180 Jump Turns_Female,,,,,
,180 Jump Turns_Male,,,,,
Bodyweight,3 Leg Chatarunga Pose_female,"1. Start in a plank position with your hands shoulder-width apart and feet hip-width apart.
2. Lift your right leg straight back and up, keeping your hips level.
3. Shift your body forward into a plank position while keeping the right leg lifted.
4. Lower your body towards the floor by bending your elbows close to your sides, maintaining a straight line from head to left heel. Return to the plank position and repeat on the left side.","1. Engage your core to maintain balance and stability throughout the movement.
2. Keep your elbows close to your body to protect your shoulders.
3. Breathe steadily, inhaling as you lower and exhaling as you push back up.","Chest (Pectoralis major), Shoulders (Deltoids), Triceps (Triceps brachii)","Abdominals (Rectus abdominis), Side abdominals (Obliques), Buttocks (Gluteus maximus), Quadriceps (Quadriceps femoris)",None
Bodyweight,3 Leg Dog Pose_female,"1. Start in a downward-facing dog position with your hands shoulder-width apart and feet hip-width apart.
2. Lift your right leg straight back and up, keeping your hips level and ensuring your body forms a straight line from your wrists to your raised foot.
3. Hold the position, keeping your core engaged and your leg extended.
4. Lower your right leg back to the floor and return to the plank position. Repeat with the left leg.","1. Engage your core to maintain balance and stability throughout the movement.
2. Keep your hips squared to the floor to ensure proper alignment.
3. Breathe steadily, inhaling as you lift your leg and exhaling as you lower it.","Glutes (gluteus maximus, gluteus mideus), Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Shoulders (Deltoids)","Calves (Gastrocnemius and Soleus), Core muscles (Rectus Abdominis, Obliques)",None
Bodyweight,3-4 Sit-up_female,"1. Lie on your back with your knees bent and your feet flat on the floor, hip-width apart.
2. Place your hands behind your head, keeping your elbows wide.
3. Engage your core and lift your upper body towards your knees, coming up about three-quarters of the way.
4. Slowly lower your upper body back to the starting position and repeat.","1. Keep your core engaged throughout the exercise to avoid straining your lower back.
2. Avoid pulling on your neck with your hands; use your abdominal muscles to lift your upper body.
3. Breathe steadily, exhaling as you lift and inhaling as you lower.",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (Internal and External Obliques)",None
Bodyweight,4 Coners Side Step_female,"1. Stand with your feet shoulder-width apart, knees slightly bent.
2. Keep your hands close in front of your chest with your fists forming a punch and facing forward.
3. Lift your right foot to the back, straightening it sideways and lightly touching the floor when fully extended. While extending both fists frontwards.
4. Bring your right foot back to starting position and both fists close to your chest at starting position and repeat with alternating legs","1. Keep your knees slightly bent. This helps absorb the impact and engages your leg muscles more effectively.
2. Maintain a tight core. Engaging your core muscles will help with balance and stability throughout the movement.
3. Use controlled movements. Avoid rushing; perform each step deliberately to maximize muscle activation and reduce the risk of injury.","Quadriceps (Quadriceps Femoris), Hamstrings (Biceps femoris, Semitendinosus, Semimembranosus), Glutes (gluteus maximus, gluteus mideus)","Calves (Gastrocnemius, Soleus), Hip Flexors (Iliopsoas), Abductors (Gluteus medius, Tensor fasciae latae)",None
Bodyweight,4 Corners Curtsy_female,"1. Start with feet shoulder-width apart, hands close to your chest.
2. Step your right foot back and to the left, crossing behind your left leg and bending both knees into a curtsy lunge while extending both arms straight to the oposite side in front of yout torso.
3. Return to the starting position by stepping your right foot forward to meet your left foot.
4. Repeat the curtsy lunge the opposite side while straightening both arms on the opposite side.","1. Maintain Balance: Keep your core engaged to help maintain balance throughout the movement.
2. Controlled Movements: Perform each step and curtsy with control to maximize muscle activation and reduce the risk of injury.
3. Keep Knees Aligned: Ensure your front knee stays aligned with your front foot to avoid unnecessary strain on your knee joint.","Glutes (gluteus maximus, gluteus mideus), Quadriceps (Quadriceps Femoris), Shoulders (Deltoids)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Inner Thighs (Adductors)",None
,4 Corners Side Step_female,,,,,
Bodyweight,4 Punches Side Squat_female,"1. Start with feet shoulder-width apart, hands in fists at chest level.
2. Perform four punches in front of you, alternating between left and right hands.
3. Step your right foot out to the side and lower into a squat position, keeping your back straight and knees aligned with your toes.
4. Return to the standing position by stepping your left foot back in, and repeat the exercise.","1. Engage Your Core: Keep your core muscles engaged to help with balance and stability during punches and squats.
2. Controlled Movements: Perform punches and squats in a controlled manner to maximize muscle activation and reduce injury risk.
3. Keep Knees Aligned: Ensure your knees stay in line with your toes during the squat to avoid unnecessary strain on your knee joints.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Shoulders (Deltoids)",None
Bodyweight,4 Reverse Lunge and 4 Side Taps_female,"1. Start with feet shoulder-width apart, arms straight in front of your torso.
2. Step your right foot back into a reverse lunge, bending both knees to 90 degrees. Return to the starting position by stepping your right foot forward and repeat 1 time.
3. Return to standing position and perform four side taps by stepping your right foot out to the side and tapping the floor, then bringing it back to the center. Repeat on the other side.
4. Return to starting position and repeat.","1. Keep your core muscles engaged to maintain balance and stability during lunges and taps.
2. Perform each lunge and tap with control to maximize muscle activation and minimize injury risk.
3. Ensure your front knee stays aligned with your front foot during lunges to avoid unnecessary strain on your knee joint.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Hip Flexors (Iliopsoas)",None
Bodyweight,45 degree bicycle twist knee to elbow,"1. Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform.
2. Place your left hand behind your head and your right hand on your waist.
3. Open your upper leg slightly and bend your knee while bringing your opposite elbow towards it.
4. Return to the initial position, and repeat. ","1. Keep your hips pressed on the hyperextension bench to engage your core muscles more effectively and protect your spine.
2. Avoid pulling on your neck with your hand; use your core to lift and twist, keeping your neck in a neutral position.
3. Perform the exercise slowly and deliberately to maximize muscle engagement and reduce the risk of strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Quadriceps (Quadriceps Femoris)",Hyperextension Bench
Bodyweight,45 degree bicycle twisting crunch,"1. Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform.
2. Place your left hand behind your head and your right hand on your waist.
3. Straighten your upper leg wide and bend your knee while twisting your torso and bringing the opposite elbow towards it.
4. Return to the initial position, and repeat. ","1. Ensure your feet are securely positioned on the hyperextension bench to maintain stability throughout the exercise.
2. Focus on engaging your core muscles to lift and twist, avoiding pulling on your neck with your hands.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Quadriceps (quadriceps femoris)",Hyperextension Bench
Bodyweight,45 degree Bicycle Twisting Crunch_female,"1. Align yourself to 45 degrees to the floor by fixing your left foot into the footrest and supporting your thigh against the padded platform.
2. Place your left hand behind your head and your right hand on your waist.
3. Straighten your upper leg wide and bend your knee while twisting your torso and bringing the opposite elbow towards it.
4. Return to the initial position, and repeat. ","1. Ensure your feet are securely positioned on the hyperextension bench to maintain stability throughout the exercise.
2. Focus on engaging your core muscles to lift and twist, avoiding pulling on your neck with your hands.
3. Perform the exercise with controlled movements to maximize muscle engagement and reduce the risk of strain.","Abdominals (rectus abdominis), Obliques (external and internal obliques)","Hip Flexors (iliopsoas), Quadriceps (quadriceps femoris)",Hyperextension Bench
